f09f8da5;fish_cake
f09f8ea3;fishing_pole_and_fish
f09f918a;facepunch
f09f918a;punch
e29bb300;golf
e29a9c00;fleur__de__lis
f09f92aa;muscle
f09f92be;floppy_disk
f09f8eb4;flower_playing_cards
f09f98b3;flushed
f09f8cab;fog
f09f8c81;foggy
f09f91a3;footprints
f09f8db4;fork_and_knife
f09f8dbd;fork_and_knife_with_plate
e29bb200;fountain
f09f8d80;four_leaf_clover
f09f96bc;frame_with_picture
f09f8d9f;fries
f09f8da4;fried_shrimp
f09f90b8;frog
f09f90a5;hatched_chick
f09f98a6;frowning
e29bbd00;fuelpump
f09f8c95;full_moon
f09f8c9d;full_moon_with_face
e29ab100;funeral_urn
f09f8eb2;game_die
e29a9900;gear
f09f928e;gem
e2998a00;gemini
f09f91bb;ghost
f09f91a7;girl
f09f8c90;globe_with_meridians
f09f8c9f;star2
f09f9090;goat
f09f8f8c;golfer
f09f8e93;mortar_board
f09f8d87;grapes
f09f8d8f;green_apple
f09f9397;green_book
f09f929a;green_heart
f09f98ac;grimacing
f09f98b8;smile_cat
f09f9880;grinning
f09f9881;grin
f09f9297;heartpulse
f09f9282;guardsman
f09f8eb8;guitar
f09f9287;haircut
f09f8d94;hamburger
f09f94a8;hammer
e29a9200;hammer_and_pick
f09f9ba0;hammer_and_wrench
f09f90b9;hamster
f09f919c;handbag
f09f998b;raising_hand
f09f90a3;hatching_chick
f09f8ea7;headphones
f09f9989;hear_no_evil
f09f929f;heart_decoration
f09f9298;cupid
f09f929d;gift_heart
e29da400;heart
e29c9400;heavy_check_mark
e29e9700;heavy_division_sign
f09f92b2;heavy_dollar_sign
e29d9700;exclamation
e29d9700;heavy_exclamation_mark
e29da300;heavy_heart_exclamation_mark_ornament
e2ad9500;o
e29e9600;heavy_minus_sign
e29c9600;heavy_multiplication_x
e29e9500;heavy_plus_sign
f09f9a81;helicopter
e28e8800;helm_symbol
e29b9100;helmet_with_white_cross
f09f8cbf;herb
f09f8cba;hibiscus
f09f91a0;high_heel
f09f9a84;bullettrain_side
f09f9a85;bullettrain_front
f09f9486;high_brightness
e29aa100;zap
f09f94aa;hocho
f09f94aa;knife
f09f95b3;hole
f09f8daf;honey_pot
f09f909d;bee
f09f9aa5;traffic_light
f09f908e;racehorse
f09f90b4;horse
f09f8f87;horse_racing
f09f8fa5;hospital
e2989500;coffee
f09f8cad;hot_dog
f09f8cb6;hot_pepper
e299a800;hotsprings
f09f8fa8;hotel
e28c9b00;hourglass
e28fb300;hourglass_flowing_sand
f09f8fa0;house
f09f8f98;house_buildings
f09f8fa1;house_with_garden
f09fa497;hugging_face
f09f92af;100
f09f98af;hushed
f09f8da8;ice_cream
f09f8f92;ice_hockey_stick_and_puck
e29bb800;ice_skate
f09f91bf;imp
f09f93a5;inbox_tray
f09f93a8;incoming_envelope
